"","GEOID","NAME","variable","estimate","moe"
"2886","51137","Orange County, Virginia","B15003_022",3861,470
"2887","51139","Page County, Virginia","B15003_022",1498,253
"2888","51141","Patrick County, Virginia","B15003_022",1223,243
"2889","51143","Pittsylvania County, Virginia","B15003_022",4273,392
"2890","51145","Powhatan County, Virginia","B15003_022",4242,392
"2891","51147","Prince Edward County, Virginia","B15003_022",1529,245
"2892","51149","Prince George County, Virginia","B15003_022",3995,485
"2893","51153","Prince William County, Virginia","B15003_022",68227,1431
"2894","51155","Pulaski County, Virginia","B15003_022",3088,361
"2895","51157","Rappahannock County, Virginia","B15003_022",1084,199
"2896","51159","Richmond County, Virginia","B15003_022",640,169
"2897","51161","Roanoke County, Virginia","B15003_022",15458,747
"2898","51163","Rockbridge County, Virginia","B15003_022",2535,392
"2899","51165","Rockingham County, Virginia","B15003_022",7865,441
"2900","51167","Russell County, Virginia","B15003_022",1899,333
"2901","51169","Scott County, Virginia","B15003_022",1513,211
"2902","51171","Shenandoah County, Virginia","B15003_022",3940,342
"2903","51173","Smyth County, Virginia","B15003_022",2027,259
"2904","51175","Southampton County, Virginia","B15003_022",1648,229
"2905","51177","Spotsylvania County, Virginia","B15003_022",16280,704
"2906","51179","Stafford County, Virginia","B15003_022",20410,996
"2907","51181","Surry County, Virginia","B15003_022",643,126
"2908","51183","Sussex County, Virginia","B15003_022",660,152
"2909","51185","Tazewell County, Virginia","B15003_022",2940,329
"2910","51187","Warren County, Virginia","B15003_022",3745,421
"2911","51191","Washington County, Virginia","B15003_022",5780,457
"2912","51193","Westmoreland County, Virginia","B15003_022",1776,326
"2913","51195","Wise County, Virginia","B15003_022",2394,328
"2914","51197","Wythe County, Virginia","B15003_022",2377,301
"2915","51199","York County, Virginia","B15003_022",10415,736
"2916","51510","Alexandria city, Virginia","B15003_022",34403,1102
"2917","51520","Bristol city, Virginia","B15003_022",1842,317
"2918","51530","Buena Vista city, Virginia","B15003_022",352,130
"2919","51540","Charlottesville city, Virginia","B15003_022",7383,580
"2920","51550","Chesapeake city, Virginia","B15003_022",30660,1137
"2921","51570","Colonial Heights city, Virginia","B15003_022",1863,255
"2922","51580","Covington city, Virginia","B15003_022",343,100
"2923","51590","Danville city, Virginia","B15003_022",3438,371
"2924","51595","Emporia city, Virginia","B15003_022",368,119
"2925","51600","Fairfax city, Virginia","B15003_022",4797,328
"2926","51610","Falls Church city, Virginia","B15003_022",3371,321
"2927","51620","Franklin city, Virginia","B15003_022",875,179
"2928","51630","Fredericksburg city, Virginia","B15003_022",4053,480
"2929","51640","Galax city, Virginia","B15003_022",286,87
