"","GEOID","County","Adult Population with Bachlors Degree Estimate","Adult Population with Bachlors Degree 90% Confidence Interval","Adult Population Estimate","Adult Population 90% Confidence Interval","Median Household Income Estimate","Median Household Income 90% Confidence Interval","PCT_Degree"
"475","13177","Lee County, Georgia",2881,401,19114,132,65018,3516,0.150727215653448
"476","13179","Liberty County, Georgia",4787,508,35487,107,43493,1738,0.134894468396878
"477","13181","Lincoln County, Georgia",449,107,5687,38,37711,6081,0.0789519957798488
"478","13183","Long County, Georgia",1093,303,10865,213,53083,4971,0.100598251265532
"479","13185","Lowndes County, Georgia",9903,677,66466,156,39911,1705,0.148993470345741
"480","13187","Lumpkin County, Georgia",2977,510,19786,246,43039,2966,0.150459921156373
"481","13189","McDuffie County, Georgia",1363,234,14103,163,40469,4618,0.0966461036658867
"482","13191","McIntosh County, Georgia",877,193,10558,147,43285,4280,0.0830649744269748
"483","13193","Macon County, Georgia",504,132,9658,98,30851,3027,0.0521847173327811
"484","13195","Madison County, Georgia",1827,303,19636,159,47653,3252,0.0930433896924017
"485","13197","Marion County, Georgia",426,133,6102,96,39015,5043,0.0698131760078663
"486","13199","Meriwether County, Georgia",943,180,14731,107,36368,4391,0.0640146629556717
"487","13201","Miller County, Georgia",313,91,4095,66,37255,4203,0.0764346764346764
"488","13205","Mitchell County, Georgia",1270,258,15298,60,34122,3218,0.0830173878938423
"489","13207","Monroe County, Georgia",2322,349,18924,151,50666,4524,0.122701331642359
"490","13209","Montgomery County, Georgia",525,90,5966,82,40308,2678,0.0879986590680523
"491","13211","Morgan County, Georgia",1671,242,12387,121,59572,5141,0.134899491402277
"492","13213","Murray County, Georgia",1448,258,26017,107,41617,2282,0.0556559172848522
"493","13215","Muscogee County, Georgia",20489,891,127882,185,43239,1433,0.160218013481178
"494","13217","Newton County, Georgia",8455,790,66904,229,52784,2372,0.126375104627526
"495","13219","Oconee County, Georgia",5398,437,23495,135,77388,4806,0.229751010853373
"496","13221","Oglethorpe County, Georgia",999,183,10457,85,43938,1739,0.0955340919957923
"497","13223","Paulding County, Georgia",15601,1065,97288,272,63669,2428,0.160358934298166
"498","13225","Peach County, Georgia",2049,335,17205,94,43645,3747,0.119093286835222
"499","13227","Pickens County, Georgia",3479,502,22087,181,61542,3961,0.157513469461674
"500","13229","Pierce County, Georgia",851,206,12969,135,39863,6160,0.0656180121828977
"501","13231","Pike County, Georgia",1346,228,12147,71,52377,5466,0.110809253313575
"502","13233","Polk County, Georgia",2045,345,27250,205,40652,2098,0.075045871559633
"503","13235","Pulaski County, Georgia",570,160,8466,313,38750,4970,0.0673281360737066
"504","13237","Putnam County, Georgia",2284,301,15663,348,48340,3802,0.14582136244653
